rank,team,current_rating,average_ranking,average_rating,one_year_change_ranking,one_year_change_rating,total_matches,home_matches,away_matches,neutral_matches,wins,losses,draws,goals_for,goals_against
1,Brazil,2169,4,1999,0,20,1026,364,331,331,654,161,211,2230,912
2,Argentina,2143,5,1984,1,42,1061,368,405,288,573,225,263,2001,1107
3,Spain,2048,7,1941,2,11,737,324,290,123,431,135,171,1478,662
4,Netherlands,2040,15,1844,8,111,853,405,345,103,438,230,185,1774,1090
5,Belgium,2007,23,1751,-1,-68,834,401,358,75,369,294,171,1515,1323
6,Portugal,2006,19,1789,2,33,651,304,246,101,317,182,152,1112,742
7,France,2005,16,1784,-5,-110,890,455,330,105,441,262,187,1589,1239
8,Italy,1974,8,1915,-1,-57,862,388,313,161,458,168,236,1502,845
9,Denmark,1971,20,1798,1,34,864,393,383,88,401,288,175,1590,1177
10,Germany,1963,8,1910,-1,0,1003,444,403,156,581,213,209,2259,1179
11,Uruguay,1936,12,1878,6,88,971,321,413,237,428,309,234,1544,1202
12,Croatia,1927,13,1876,2,69,356,143,153,60,187,75,94,618,361
13,England,1920,4,1979,-7,-112,1110,491,506,113,646,209,255,2589,1090
14,Colombia,1919,50,1605,-1,15,608,173,216,219,241,200,167,768,711
15,Switzerland,1902,27,1684,-4,-32,851,408,376,67,301,364,186,1257,1428
16,Serbia,1898,20,1785,2,52,822,288,405,129,388,252,182,1568,1125
17,Peru,1851,34,1676,5,16,676,256,239,181,223,288,165,841,952
18,Ecuador,1833,65,1510,-1,-24,558,174,196,188,166,247,145,676,877
19,Hungary,1825,20,1836,20,99,1000,448,480,72,474,314,212,2039,1481
20,Ukraine,1822,33,1734,5,5,298,131,125,42,134,79,85,413,300
21,Poland,1814,29,1711,8,44,878,376,394,108,381,281,216,1499,1184
22,Mexico,1809,20,1778,-3,-33,967,287,262,418,501,245,221,1734,998
23,United States,1798,41,1639,-9,-60,765,437,247,81,338,267,160,1139,1006
24,Iran,1797,40,1654,-4,-38,631,214,179,238,355,127,149,1183,490
25,Wales,1790,22,1667,-5,-46,698,327,343,28,223,322,153,866,1131
26,Japan,1787,62,1453,5,27,784,311,190,283,374,248,162,1378,942
