timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1641744000,Jan 09 2022 - 4:00pm,complete,N/A,Cameroon,Burkina Faso,N/A,1,0,0,2.14,1.29,2,1,3,3,2,1,"40,45'3",24,6,5,1,0,2,0,1,0,2,0,17,12,6,6,11,6,15,21,60,40,0,0,1.87,1.41,0,0,0,0,0,0,0,0,0,0,0,0,1.17,3.6,4.75,1.53,2.25,4.75,10,2.25,1.57,N/A
1641754800,Jan 09 2022 - 7:00pm,complete,N/A,Ethiopia,Cape Verde,N/A,1,0,0,0.33,1,0,1,1,1,0,1,,45'1,1,6,1,1,1,0,2,0,1,0,7,15,2,5,5,10,11,8,44,56,0,0,0.73,1.75,0,0,0,0,0,0,0,0,0,0,0,0,4.6,3,1.91,1.53,2.8,5.5,11,2.25,1.57,N/A
1641819600,Jan 10 2022 - 1:00pm,complete,N/A,Senegal,Zimbabwe,N/A,1,0,0,2.14,1,1,0,1,0,0,0,90'7,,4,4,1,0,2,0,1,0,0,2,16,12,4,3,12,9,9,12,61,39,0,0,1.76,1.16,0,0,0,0,0,0,0,0,0,0,0,0,1.33,4.6,9,1.36,2.1,4,8,2.75,1.4,Stade Municipal de Bangangte
1641830400,Jan 10 2022 - 4:00pm,complete,N/A,Guinea,Malawi,N/A,1,0,0,1,1,1,0,1,1,1,0,35,,6,6,1,0,2,0,0,1,0,2,14,11,5,7,9,4,11,14,65,35,0,0,1.46,1.39,0,0,0,0,0,0,0,0,0,0,0,0,1.15,3.8,5,1.54,2.25,5.5,10,2.38,1.53,Stade Municipal de Bangangte
1641830400,Jan 10 2022 - 4:00pm,complete,N/A,Morocco,Ghana,N/A,1,0,0,2,0.33,1,0,1,0,0,0,83,,4,5,1,0,2,0,1,0,1,1,13,6,4,3,9,3,21,21,62,38,0,0,1.36,0.86,0,0,0,0,0,0,0,0,0,0,0,0,1.43,2.6,2.65,1.53,3.6,5.5,11,2.5,1.44,Stade Omnisport Ahmadou Ahidjo
1641841200,Jan 10 2022 - 7:00pm,complete,N/A,Comoros,Gabon,N/A,1,0,0,0.75,1.5,0,1,1,1,0,1,,16,3,1,1,0,1,0,1,0,0,1,11,9,3,4,8,5,12,24,63,37,0,0,1.45,1.25,0,0,0,0,0,0,0,0,0,0,0,0,3.95,2.67,2,1.53,2.75,5,10,2.1,1.67,Stade Omnisport Ahmadou Ahidjo
1641906000,Jan 11 2022 - 1:00pm,complete,N/A,Algeria,Sierra Leone,N/A,1,0,0,0.33,0.67,0,0,0,0,0,0,,,10,2,1,0,1,0,1,0,0,1,20,10,9,3,11,7,13,11,67,33,0,0,2.26,1,0,0,0,0,0,0,0,0,0,0,0,0,1.25,5.25,14.5,1.22,1.98,3.1,5.5,6,1.1,Stade de la Réunification
1641916800,Jan 11 2022 - 4:00pm,complete,N/A,Nigeria,Egypt,N/A,1,0,0,2.25,1.71,1,0,1,1,1,0,30,,6,3,0,0,0,0,0,0,0,0,16,6,5,3,11,3,15,6,43,57,0,0,1.81,0.79,0,0,0,0,0,0,0,0,0,0,0,0,2.1,2.88,1.66,1.53,3.1,5.5,13,2.38,1.53,Stade Omnisport Roumdé Adjia
1641927600,Jan 11 2022 - 7:00pm,complete,N/A,Sudan,Guinea-Bissau,N/A,1,0,0,0.33,0.33,0,0,0,0,0,0,,,3,3,2,0,1,0,1,1,1,0,11,10,5,4,6,6,18,12,41,59,0,0,1.32,1.19,0,0,0,0,0,0,0,0,0,0,0,0,3.71,3.03,2.15,1.65,2.55,5.5,10,2.5,1.5,Stade Omnisport Roumdé Adjia
1641992400,Jan 12 2022 - 1:00pm,complete,N/A,Tunisia,Mali,N/A,1,0,0,1.2,2,0,1,1,0,0,0,,48,5,6,2,0,2,1,1,1,2,1,7,10,3,2,4,8,14,14,56,44,0,0,0.86,0.98,0,0,0,0,0,0,0,0,0,0,0,0,2.15,3,3.6,1.53,2.95,5.6,13.5,2.5,1.5,N/A
